range: +/- 4.096V
rate: 128 SPS
mux: AIN0 - AIN3
mode: Single
raw: [10010011 10000011]
Modulator output = 0
Waiting 10s...
zero crossing function
temp reading fn
i: 52.7, s: 50.0, e: -2.7, i: 0.0, d: 52.7, PT: -0.1, IT: 0.0, DT: 0.0, O: 0.000
i: 52.7, s: 50.0, e: -2.7, i: 0.0, d: 52.7, PT: -0.1, IT: 0.0, DT: 0.0, O: 0.000
i: 52.7, s: 50.0, e: -2.7, i: 0.0, d: 52.7, PT: -0.1, IT: 0.0, DT: 0.0, O: 0.000
i: 52.7, s: 50.0, e: -2.7, i: 0.0, d: 52.7, PT: -0.1, IT: 0.0, DT: 0.0, O: 0.000
i: 52.7, s: 50.0, e: -2.7, i: 0.0, d: 52.7, PT: -0.1, IT: 0.0, DT: 0.0, O: 0.000
i: 52.6, s: 50.0, e: -2.6, i: 0.0, d: 52.6, PT: -0.1, IT: 0.0, DT: 0.0, O: 0.000
i: 52.5, s: 50.0, e: -2.5, i: 0.0, d: 52.5, PT: -0.1, IT: 0.0, DT: 0.0, O: 0.000
i: 52.5, s: 50.0, e: -2.5, i: 0.0, d: 52.5, PT: -0.1, IT: 0.0, DT: 0.0, O: 0.000
i: 52.5, s: 50.0, e: -2.5, i: 0.0, d: 52.5, PT: -0.1, IT: 0.0, DT: 0.0, O: 0.000
i: 52.5, s: 50.0, e: -2.5, i: 0.0, d: 52.5, PT: -0.1, IT: 0.0, DT: 0.0, O: 0.000
i: 52.5, s: 50.0, e: -2.5, i: 0.0, d: 52.5, PT: -0.1, IT: 0.0, DT: 0.0, O: 0.000
i: 52.5, s: 50.0, e: -2.5, i: 0.0, d: 52.5, PT: -0.1, IT: 0.0, DT: 0.0, O: 0.000
i: 52.5, s: 50.0, e: -2.5, i: 0.0, d: 52.5, PT: -0.1, IT: 0.0, DT: 0.0, O: 0.000
i: 52.3, s: 50.0, e: -2.3, i: 0.0, d: 52.3, PT: -0.1, IT: 0.0, DT: 0.0, O: 0.000
i: 52.3, s: 50.0, e: -2.3, i: 0.0, d: 52.3, PT: -0.1, IT: 0.0, DT: 0.0, O: 0.000
i: 52.3, s: 50.0, e: -2.3, i: 0.0, d: 52.3, PT: -0.1, IT: 0.0, DT: 0.0, O: 0.000
i: 52.3, s: 50.0, e: -2.3, i: 0.0, d: 52.3, PT: -0.1, IT: 0.0, DT: 0.0, O: 0.000
i: 52.3, s: 50.0, e: -2.3, i: 0.0, d: 52.3, PT: -0.1, IT: 0.0, DT: 0.0, O: 0.000
i: 52.2, s: 50.0, e: -2.2, i: 0.0, d: 52.2, PT: -0.1, IT: 0.0, DT: 0.0, O: 0.000
i: 52.2, s: 50.0, e: -2.2, i: 0.0, d: 52.2, PT: -0.1, IT: 0.0, DT: 0.0, O: 0.000
i: 52.2, s: 50.0, e: -2.2, i: 0.0, d: 52.2, PT: -0.1, IT: 0.0, DT: 0.0, O: 0.000
i: 52.1, s: 50.0, e: -2.1, i: 0.0, d: 52.1, PT: -0.1, IT: 0.0, DT: 0.0, O: 0.000
i: 52.1, s: 50.0, e: -2.1, i: 0.0, d: 52.1, PT: -0.1, IT: 0.0, DT: 0.0, O: 0.000
i: 52.1, s: 50.0, e: -2.1, i: 0.0, d: 52.1, PT: -0.1, IT: 0.0, DT: 0.0, O: 0.000
